Wavelength,Flux,BestFit,SkyFlux
7650.0,124.52,124.52,124.52
7660.0,120.00,120.00,120.00
7670.0,121.20,121.20,121.20
7680.0,123.10,123.10,123.10
7690.0,121.42,121.42,121.42
7700.0,121.46,121.46,121.46
7710.0,120.73,120.73,120.73
7720.0,121.20,121.20,121.20
7730.0,121.00,121.00,121.00
7740.0,120.90,120.90,120.90
7750.0,120.80,120.80,120.80
7760.0,121.02,121.02,121.02
7770.0,120.28,120.28,120.28
7780.0,120.14,120.14,120.14
7790.0,120.67,120.67,120.67
7800.0,119.30,119.30,119.30
7810.0,118.98,118.98,118.98
7820.0,119.50,119.50,119.50
7830.0,118.96,118.96,118.96
7840.0,118.10,118.10,118.10
7850.0,118.74,118.74,118.74
7860.0,118.90,118.90,118.90
7870.0,118.77,118.77,118.77
7880.0,118.00,118.00,118.00
7890.0,118.12,118.12,118.12
7900.0,117.04,117.04,117.04
7910.0,116.32,116.32,116.32
7920.0,115.00,115.00,115.00
7930.0,114.49,114.49,114.49
7940.0,112.60,112.60,112.60
7950.0,112.80,112.80,112.80
7960.0,114.27,114.27,114.27
7970.0,115.80,115.80,115.80
7980.0,115.01,115.01,115.01
7990.0,113.50,113.50,113.50
8000.0,112.48,112.48,112.48
8010.0,114.27,114.27,114.27
8020.0,114.22,114.22,114.22
8030.0,112.41,112.41,112.41
8040.0,113.42,113.42,113.42
8050.0,110.01,110.01,110.01
8060.0,113.09,113.09,113.09
8070.0,112.30,112.30,112.30
8080.0,111.62,111.62,111.62
8090.0,109.80,109.80,109.80
8100.0,111.00,111.00,111.00
8110.0,111.43,111.43,111.43
8120.0,111.60,111.60,111.60
8130.0,111.80,111.80,111.80
8140.0,111.74,111.74,111.74
8150.0,110.91,110.91,110.91
8160.0,110.50,110.50,110.50
8170.0,110.83,110.83,110.83
8180.0,108.61,108.61,108.61
8190.0,107.38,107.38,107.38
8200.0,107.40,107.40,107.40
8210.0,107.60,107.60,107.60
8220.0,105.60,105.60,105.60
8230.0,107.60,107.60,107.60
8240.0,107.15,107.15,107.15
8250.0,106.99,106.99,106.99
8260.0,107.59,107.59,107.59
8270.0,107.62,107.62,107.62
8280.0,107.49,107.49,107.49
8290.0,106.20,106.20,106.20
8300.0,105.63,105.63,105.63
8310.0,105.60,105.60,105.60
8320.0,105.50,105.50,105.50
8330.0,103.27,103.27,103.27
8340.0,104.59,104.59,104.59
8350.0,104.76,104.76,104.76
8360.0,105.97,105.97,105.97
8370.0,105.11,105.11,105.11
8380.0,105.49,105.49,105.49
8390.0,104.00,104.00,104.00
8400.0,105.00,105.00,105.00
8410.0,105.20,105.20,105.20
8420.0,102.87,102.87,102.87
8430.0,102.71,102.71,102.71
8440.0,101.40,101.40,101.40
8450.0,103.60,103.60,103.60
8460.0,103.70,103.70,103.70
8470.0,100.60,100.60,100.60
8480.0,101.10,101.10,101.10
8490.0,100.50,100.50,100.50
8500.0,91.00,91.00,91.00
8510.0,99.80,99.80,99.80
8520.0,99.00,99.00,99.00
8530.0,98.10,98.10,98.10
8540.0,86.90,86.90,86.90
8550.0,92.70,92.70,92.70
8560.0,99.02,99.02,99.02
8570.0,100.56,100.56,100.56
8580.0,100.70,100.70,100.70
8590.0,100.50,100.50,100.50
8600.0,100.00,100.00,100.00
8610.0,99.90,99.90,99.90
8620.0,100.60,100.60,100.60
8630.0,101.20,101.20,101.20
8640.0,99.01,99.01,99.01
8650.0,97.35,97.35,97.35
8660.0,85.80,85.80,85.80
8670.0,92.50,92.50,92.50
8680.0,96.90,96.90,96.90
8690.0,95.90,95.90,95.90
8700.0,97.70,97.70,97.70
8710.0,96.32,96.32,96.32
8720.0,97.60,97.60,97.60
8730.0,96.61,96.61,96.61
8740.0,94.91,94.91,94.91
8750.0,93.56,93.56,93.56
8760.0,96.20,96.20,96.20
8770.0,96.50,96.50,96.50
8780.0,96.20,96.20,96.20
