Wavelength,Flux,BestFit,SkyFlux
4138.091,100.458,102.157,16.362
4139.044,100.239,103.847,15.711
4139.997,99.869,104.113,15.536
4140.950,100.477,102.598,16.210
4141.904,97.898,103.716,16.511
4142.858,97.408,100.888,15.293
4143.812,103.661,99.950,13.386
4144.766,106.872,100.527,11.761
4145.720,100.702,101.602,12.260
4146.675,97.755,102.682,13.708
4147.630,99.342,103.095,14.343
4148.585,103.654,102.856,14.652
4149.540,101.718,104.596,14.862
4150.496,99.932,105.018,14.581
4151.452,101.959,103.819,14.026
4152.408,101.902,103.229,14.466
4153.364,100.998,103.832,14.738
4154.321,103.182,101.960,13.814
4155.277,100.319,102.034,13.688
4156.234,100.327,102.467,14.168
4157.191,100.110,102.532,14.535
4158.149,99.823,102.854,14.311
4159.106,99.327,103.198,13.603
4160.064,102.432,101.984,14.572
4161.022,102.773,104.137,16.242
4161.980,102.984,104.973,16.432
4162.939,100.773,103.440,16.078
4163.897,98.637,102.091,16.171
4164.856,103.537,102.752,16.322
4165.815,103.770,103.984,16.950
4166.775,99.753,102.165,17.084
4167.734,105.562,101.848,16.051
4168.694,100.419,102.486,15.680
4169.654,100.930,102.651,16.345
4170.614,99.959,103.927,16.227
4171.574,98.914,103.041,16.142
4172.535,99.879,101.703,15.654
4173.496,98.071,101.139,14.515
4174.457,98.156,101.567,13.853
4175.418,100.670,101.635,14.292
4176.380,99.619,99.813,14.815
4177.342,102.258,99.271,15.130
4178.304,98.552,99.717,15.293
4179.266,100.058,99.916,15.662
4180.228,98.857,99.779,15.443
4181.191,99.900,99.722,14.440
4182.154,101.113,99.883,13.873
4183.117,99.800,100.466,14.418
4184.080,99.769,100.587,14.739
4185.044,99.447,100.713,14.251
4186.007,101.339,99.990,13.348
4186.971,105.590,99.352,12.547
4187.936,102.918,101.201,12.068
4188.900,98.378,100.173,12.382
4189.865,100.904,100.009,13.733
4190.830,100.620,100.935,14.188
4191.795,101.923,101.127,14.165
4192.760,101.257,100.713,15.129
4193.725,101.576,101.463,16.172
4194.691,97.517,99.493,16.038
4195.657,100.647,99.417,14.812
4196.623,101.643,98.153,13.392
4197.590,97.094,97.132,12.466
4198.556,97.010,98.156,11.514
4199.523,100.080,98.241,11.837
4200.490,102.533,96.832,13.354
4201.458,94.797,97.055,13.437
4202.425,98.011,97.234,13.492
4203.393,97.843,97.795,13.297
4204.361,99.673,98.706,13.359
4205.329,99.726,98.005,13.140
4206.298,98.554,99.184,13.427
4207.266,100.745,99.704,14.430
4208.235,98.393,99.597,15.297
4209.204,97.377,99.195,15.488
4210.174,103.060,98.834,15.520
4211.143,102.080,99.238,15.576
4212.113,99.705,100.401,15.662
4213.083,97.189,100.321,15.214
4214.053,97.747,99.099,14.922
4215.023,98.530,98.615,15.257
4215.994,96.801,99.537,14.347
4216.965,98.610,100.202,13.477
4217.936,99.124,100.647,13.504
4218.907,97.756,99.673,14.067
4219.879,100.929,99.168,14.552
4220.851,99.910,100.154,14.981
4221.823,93.742,101.242,15.087
4222.795,98.300,100.156,14.849
4223.767,104.012,98.860,14.209
4224.740,100.413,98.290,13.444
4225.713,100.490,96.169,12.140
4226.686,95.663,94.422,10.929
4227.659,98.980,95.076,10.327
4228.633,99.232,95.969,10.673
4229.607,98.763,96.251,12.718
4230.581,99.336,97.728,14.963
4231.555,99.130,98.358,15.539
4232.530,98.698,98.135,14.790
4233.504,97.696,97.748,14.319
4234.479,96.371,96.733,14.099
4235.454,97.969,96.731,14.199
4236.430,98.655,96.255,13.879
4237.405,101.319,96.384,13.360
4238.381,99.860,97.410,13.507
4239.357,98.819,98.262,12.896
4240.333,102.914,98.007,12.136
4241.310,101.759,98.070,12.669
4242.287,95.825,97.035,14.268
4243.263,96.454,97.693,14.167
4244.241,98.951,98.645,12.968
4245.218,98.453,97.498,13.355
4246.196,101.007,95.843,14.360
4247.173,104.056,95.871,15.230
4248.152,98.912,94.989,15.427
4249.130,99.626,95.137,14.128
4250.108,99.711,95.890,13.281
4251.087,99.578,95.771,12.682
4252.066,98.291,95.560,13.323
4253.045,99.629,96.538,14.307
4254.025,97.590,96.064,14.482
4255.004,99.015,95.108,13.587
4255.984,100.101,95.474,13.984
4256.964,97.914,96.642,15.015
4257.945,97.102,96.145,15.305
4258.925,97.489,96.262,15.162
4259.906,97.234,94.778,16.141
4260.887,99.686,93.651,14.399
4261.868,100.795,94.437,12.938
4262.849,101.019,95.792,13.283
4263.831,101.910,95.205,13.107
4264.813,101.687,95.955,14.148
4265.795,99.334,96.072,14.582
4266.778,98.090,96.294,15.302
4267.760,101.875,96.573,15.681
4268.743,102.252,96.405,14.129
4269.726,99.343,95.818,13.081
4270.709,100.419,93.723,12.730
4271.693,100.176,93.529,11.351
4272.676,97.232,93.395,10.676
4273.660,100.136,92.263,11.487
4274.644,97.883,91.620,11.685
4275.629,99.390,93.284,11.764
4276.613,96.961,94.543,12.613
4277.598,99.448,95.459,14.004
4278.583,97.675,95.033,14.806
4279.569,99.281,94.613,15.085
4280.554,98.774,94.633,14.730
4281.540,96.886,93.073,13.698
4282.526,95.339,93.804,12.934
4283.512,94.056,93.874,13.192
4284.499,97.759,93.463,14.527
4285.485,96.527,93.315,15.080
4286.472,92.790,93.587,14.012
4287.459,96.959,93.819,12.222
4288.447,97.849,92.972,11.740
4289.434,98.629,92.214,12.164
4290.422,95.115,91.585,12.241
4291.410,97.200,91.151,11.755
4292.398,95.819,91.335,12.068
4293.387,95.121,91.986,13.330
4294.375,94.449,90.977,14.100
4295.364,94.139,91.578,13.464
4296.353,96.023,91.818,12.915
4297.343,94.087,91.939,12.696
4298.332,95.798,92.379,12.041
4299.322,96.992,90.840,10.651
4300.312,94.487,88.975,9.420
