Wavelength,Flux,BestFit,SkyFlux
4288.447,15.322,13.927,5.680
4289.434,13.013,13.935,5.564
4290.422,10.940,12.945,5.292
4291.410,11.550,11.397,5.202
4292.398,13.178,11.324,5.462
4293.387,14.071,13.069,5.915
4294.375,14.852,14.480,6.302
4295.364,14.169,14.266,6.121
4296.353,13.018,13.654,5.767
4297.343,15.363,13.900,5.752
4298.332,14.532,13.807,5.813
4299.322,12.390,12.829,5.461
4300.312,11.224,11.281,5.027
4301.303,9.296,10.036,4.844
4302.293,9.593,9.961,4.821
4303.284,10.155,10.776,4.821
4304.275,10.280,11.100,4.695
4305.266,10.852,11.320,4.649
4306.258,11.769,11.424,4.737
4307.249,12.669,11.111,4.922
4308.241,11.850,10.353,4.979
4309.233,9.634,9.450,4.968
4310.226,7.219,8.875,5.238
4311.218,9.257,9.419,5.511
4312.211,9.639,10.326,5.644
4313.204,11.388,11.081,6.115
4314.197,12.141,12.229,6.970
4315.191,14.402,13.433,7.517
4316.184,15.424,14.407,7.588
4317.178,15.942,16.501,7.620
4318.173,18.645,18.709,7.421
4319.167,19.650,19.582,7.188
4320.162,17.555,19.177,7.477
4321.157,18.795,18.483,7.844
4322.152,19.235,18.603,7.326
4323.147,19.390,18.190,6.327
4324.143,18.372,16.776,5.546
4325.138,15.904,14.590,5.169
4326.134,11.886,12.029,5.348
4327.131,10.158,10.291,5.655
4328.127,12.324,10.970,5.750
4329.124,14.029,14.044,5.945
4330.121,17.752,17.109,6.059
4331.118,19.036,18.382,6.093
4332.115,17.887,18.439,6.176
4333.113,19.608,18.508,6.109
4334.111,18.525,18.720,6.017
4335.109,18.010,19.146,6.392
4336.107,20.083,19.617,6.363
4337.106,20.569,19.574,5.952
4338.104,17.871,18.301,5.488
4339.103,16.699,16.012,5.340
4340.103,15.081,14.677,5.354
4341.102,13.062,13.814,5.330
4342.102,13.255,13.745,5.463
4343.102,14.379,14.895,5.695
4344.102,16.219,16.526,5.919
4345.102,17.915,17.228,6.204
4346.103,17.897,17.562,6.603
4347.104,17.779,18.192,7.162
4348.105,18.685,18.698,7.805
4349.106,18.473,18.757,8.134
4350.108,19.490,18.985,7.697
4351.109,18.743,19.779,6.764
4352.111,18.612,18.448,6.161
4353.114,14.278,15.592,6.195
4354.116,12.514,14.087,6.426
4355.119,14.987,15.096,6.338
4356.122,16.514,16.618,7.293
4357.125,18.344,17.305,12.722
4358.128,18.032,17.777,24.497
4359.132,17.602,17.771,34.621
4360.136,19.943,17.139,31.670
4361.140,19.317,16.564,20.608
4362.144,19.152,17.252,12.728
4363.149,19.189,18.923,9.615
4364.153,20.141,18.845,7.540
4365.158,20.591,18.776,7.019
4366.164,19.954,19.404,7.140
4367.169,20.481,19.780,6.939
4368.175,18.244,18.885,6.879
4369.181,17.354,17.582,6.935
4370.187,18.543,17.484,6.654
4371.193,19.087,17.811,6.251
4372.200,17.910,17.759,6.228
4373.207,16.955,17.409,6.567
4374.214,17.534,17.236,6.930
4375.221,17.422,16.510,6.861
4376.229,15.751,15.140,6.849
4377.236,14.660,14.617,6.883
4378.244,15.358,15.341,6.766
4379.253,18.798,16.642,6.581
4380.261,16.983,17.463,6.492
4381.270,16.177,17.075,6.721
4382.279,17.627,16.545,6.383
4383.288,17.105,15.024,5.639
4384.297,13.229,12.231,5.245
4385.307,9.825,9.611,5.309
4386.317,9.544,9.672,5.610
4387.327,12.043,12.654,6.022
4388.337,14.840,15.165,6.144
4389.348,16.228,16.218,5.954
4390.359,17.833,16.124,5.968
4391.370,16.629,15.690,6.009
4392.381,14.592,15.767,6.065
4393.392,15.501,16.434,6.498
4394.404,19.240,17.112,6.586
4395.416,17.447,17.143,6.018
4396.428,17.233,16.834,5.665
4397.441,19.562,17.056,6.030
4398.453,19.411,18.262,6.390
4399.466,19.540,19.261,6.440
4400.479,19.890,18.689,6.498
4401.493,18.633,17.251,6.813
4402.506,17.365,16.394,7.234
4403.520,17.199,16.609,7.186
4404.534,17.492,16.527,6.935
4405.549,14.286,14.181,7.237
4406.563,12.922,11.821,7.385
4407.578,13.856,12.519,7.468
4408.593,15.585,14.356,7.952
4409.608,14.756,15.120,8.057
4410.624,18.412,16.071,7.659
4411.639,19.782,18.024,7.560
4412.655,19.787,19.209,8.068
4413.671,19.833,19.886,8.181
4414.688,20.389,19.386,7.816
4415.704,18.866,17.282,7.810
4416.721,15.794,14.961,8.093
4417.738,16.046,14.491,7.882
4418.756,17.720,16.434,7.415
4419.773,19.494,18.405,7.687
4420.791,22.160,19.664,8.150
4421.809,21.102,20.246,7.994
4422.827,19.461,19.629,7.448
4423.846,18.660,18.161,7.082
4424.865,18.005,17.706,7.121
4425.884,19.299,17.920,7.492
4426.903,18.668,17.679,7.642
4427.922,17.975,16.947,7.448
4428.942,17.898,17.141,7.183
4429.962,18.176,18.452,7.130
4430.982,18.789,18.708,7.201
4432.003,18.562,17.992,7.132
4433.023,17.867,18.025,7.021
4434.044,18.800,18.903,6.908
4435.065,18.981,18.249,6.414
4436.086,14.290,16.247,6.139
4437.108,14.722,14.962,6.344
4438.130,15.097,16.029,7.117
4439.152,18.282,18.361,7.479
4440.174,21.674,20.153,7.170
4441.197,21.042,20.678,7.102
4442.219,19.064,19.545,6.875
4443.242,18.158,17.988,6.499
4444.266,16.884,16.773,6.372
4445.289,16.888,17.083,6.567
4446.313,19.576,18.907,6.819
4447.337,21.480,20.221,6.785
4448.361,20.739,20.049,6.577
4449.385,19.496,19.686,6.407
4450.410,19.696,19.713,6.181
4451.435,20.341,19.823,6.271
4452.460,18.239,19.757,6.403
4453.485,20.649,19.689,6.178
4454.511,19.462,19.119,5.998
4455.536,17.194,17.087,5.755
4456.562,15.283,15.103,5.696
4457.589,13.782,14.660,5.844
4458.615,15.181,15.655,5.922
4459.642,18.093,16.411,5.705
4460.669,17.604,16.234,5.458
4461.696,15.359,16.048,5.619
4462.724,16.133,15.629,5.918
4463.751,18.394,15.848,5.882
4464.779,19.388,17.324,5.678
4465.808,20.065,18.888,5.828
4466.836,21.060,19.096,6.239
4467.865,19.680,18.758,6.441
4468.893,19.831,18.897,6.238
4469.923,19.708,18.985,5.947
4470.952,19.259,18.571,5.953
4471.982,19.070,18.540,6.012
4473.011,18.908,19.247,5.987
4474.041,20.006,20.142,6.253
4475.072,21.213,20.869,6.772
4476.102,22.375,20.922,6.804
4477.133,22.315,20.428,6.471
4478.164,21.412,20.530,6.490
4479.195,21.804,21.559,6.517
4480.227,21.849,21.857,6.197
4481.259,21.519,20.499,5.878
4482.290,20.424,18.616,5.799
4483.323,17.840,17.626,5.885
4484.355,18.737,17.845,6.333
4485.388,20.928,19.501,6.912
4486.421,21.180,20.804,6.934
4487.454,22.424,21.544,6.568
4488.487,21.962,21.684,6.379
4489.521,21.527,20.961,6.283
4490.555,19.699,19.474,6.331
4491.589,18.919,18.686,6.547
4492.623,20.268,19.169,6.670
4493.658,21.606,20.138,6.768
4494.693,21.265,20.497,6.830
4495.728,19.876,19.666,6.613
4496.763,19.974,18.290,6.123
4497.799,20.546,18.256,6.253
4498.834,20.600,19.426,6.842
4499.870,19.903,20.719,7.231
4500.907,21.080,21.418,7.062
4501.943,22.383,21.255,6.361
4502.980,21.143,20.538,6.352
4504.017,19.960,20.780,7.064
4505.054,21.427,22.110,7.022
4506.091,23.428,22.946,6.721
4507.129,23.072,23.031,6.911
4508.167,22.751,22.855,7.100
4509.205,22.254,22.495,7.088
4510.244,21.512,22.252,6.954
4511.282,22.010,22.693,6.644
4512.321,22.312,22.785,6.236
4513.360,21.809,22.206,6.237
4514.400,21.089,21.365,6.583
4515.439,19.921,20.766,6.792
4516.479,21.014,20.916,6.532
4517.519,22.609,21.371,6.275
4518.559,21.092,21.297,6.142
4519.600,20.627,20.738,5.974
4520.641,20.980,20.698,6.269
4521.682,21.821,21.968,6.890
4522.723,21.809,22.610,6.944
4523.765,22.081,21.817,6.585
4524.806,21.624,21.066,6.382
4525.848,21.130,20.733,6.253
4526.891,20.380,20.199,6.364
4527.933,19.980,19.063,6.603
4528.976,18.981,17.556,6.693
4530.019,16.292,16.664,6.559
4531.062,17.576,16.810,6.588
4532.105,17.676,17.595,7.082
4533.149,17.803,18.415,7.507
4534.193,19.389,18.899,7.039
4535.237,17.512,18.535,6.744
4536.282,14.706,17.191,6.808
4537.326,16.509,16.933,6.939
4538.371,18.067,18.726,7.415
4539.416,21.707,21.337,7.416
4540.462,22.915,22.282,6.942
4541.507,21.287,21.471,6.715
4542.553,20.751,20.666,6.825
4543.599,21.029,20.874,7.248
4544.645,21.806,21.516,7.593
